,column name,rmse,r2,VIF
0,R&D Spend,9226.1005,0.9465,18.691588785046733
1,Administration,39089.0701,0.0403,1.0419922892570594
2,Marketing Spend,26492.8294,0.5592,2.268602540834846
3,State,39693.8072,0.0104,1.0105092966855296
4,"R&D Spend,Administration",9115.1979,0.9478,19.157088122605355
5,"State,R&D Spend,Administration",9115.1714,0.9478,19.157088122605355
6,"Administration,Marketing Spend",24927.0666,0.6097,2.5621316935690497
7,"Administration,State",38887.2329,0.0502,1.052853232259423
8,"State,R&D Spend",9226.1003,0.9465,18.691588785046733
9,"R&D Spend,Administration,Marketing Spend,State",8855.3256,0.9507,20.283975659229206
